fpr,tpr
0.0,0.0
0.0,0.23333333333333334
0.0,0.4111111111111111
0.0,0.4777777777777778
0.0,0.5777777777777777
0.0,0.6
0.0,0.6444444444444445
0.0,0.6666666666666666
0.0,0.6777777777777778
0.0,0.7222222222222222
0.0,0.7333333333333333
0.0,0.7555555555555555
0.0,0.8
0.0,0.8222222222222222
0.0,0.8333333333333334
0.0,0.8555555555555555
0.0,0.8666666666666667
0.0,0.8888888888888888
0.0,0.9222222222222223
0.018867924528301886,0.9333333333333333
0.03773584905660377,0.9333333333333333
0.03773584905660377,0.9444444444444444
0.05660377358490566,0.9555555555555556
0.07547169811320754,0.9555555555555556
0.07547169811320754,0.9888888888888889
0.1320754716981132,0.9888888888888889
0.1320754716981132,1.0
0.24528301886792453,1.0
0.2830188679245283,1.0
0.3018867924528302,1.0
0.33962264150943394,1.0
0.39622641509433965,1.0
0.4528301886792453,1.0
0.5471698113207547,1.0
0.660377358490566,1.0
1.0,1.0
